category,description
Планиметрия,Задачи на треугольники, четырёхугольники, окружности и площади
Стереометрия,Объёмы и площади поверхностей пространственных тел
Графики функций,Чтение и анализ графиков, нахождение параметров функции
Производная и первообразная,Исследование функций, касательные, площади
Вероятность,Классическая и условная вероятность, формулы сложения и умножения
Уравнения и неравенства,Алгебраические, тригонометрические, логарифмические уравнения
Текстовая задача,Движение, работа, проценты, концентрации
Параметр,Задачи с параметром
